timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1660568709909,53621,ApiLoginNormal,201,Created,PrivyNormalTest 1-41,text,true,,460,297,166,166,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,53621,0,197
1660568763530,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-41,text,true,,290,0,166,166,null,0,0,0
1660568709875,59622,ApiLoginNormal,201,Created,PrivyNormalTest 1-34,text,true,,460,297,165,165,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,59622,0,231
1660568769497,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-34,text,true,,289,0,165,165,null,0,0,0
1660568709904,60242,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-40,text,false,,315,297,164,164,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60242,0,202
1660568709954,60192,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-50,text,false,,315,297,164,164,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60192,0,152
1660568709890,60256,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-37,text,false,,315,297,164,164,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60256,0,216
1660568709970,60176,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-53,text,false,,315,297,164,164,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60176,0,136
1660568709900,60246,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-39,text,false,,315,297,164,164,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60246,0,206
1660568770146,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-40,text,true,,290,0,164,164,null,0,0,0
1660568709975,60171,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-54,text,false,,315,297,164,164,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60171,0,132
1660568709949,60197,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-49,text,false,,315,297,164,164,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60197,0,157
1660568770146,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-37,text,true,,291,0,164,164,null,0,0,0
1660568770146,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-53,text,true,,290,0,164,164,null,0,0,0
1660568770146,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-39,text,true,,291,0,164,164,null,0,0,0
1660568770146,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-50,text,true,,291,0,164,164,null,0,0,0
1660568770146,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-49,text,true,,291,0,164,164,null,0,0,0
1660568770146,1,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-54,text,true,,291,0,164,164,null,0,0,0
1660568709935,60212,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-46,text,false,,315,297,164,164,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60212,0,171
1660568709944,60203,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-48,text,false,,315,297,164,164,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60203,0,162
1660568770147,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-46,text,true,,291,0,163,163,null,0,0,0
1660568770147,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-48,text,true,,291,0,163,163,null,0,0,0
1660568709979,60172,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-55,text,false,,315,297,155,155,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60172,0,128
1660568709989,60162,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-57,text,false,,315,297,155,155,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60162,0,118
1660568709960,60191,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-51,text,false,,315,297,155,155,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60191,0,146
1660568709940,60211,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-47,text,false,,315,297,155,155,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60211,0,166
1660568709895,60256,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-38,text,false,,315,297,155,155,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60256,0,211
1660568709984,60167,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-56,text,false,,315,297,155,155,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60167,0,123
1660568770151,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-51,text,true,,291,0,155,155,null,0,0,0
1660568770151,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-47,text,true,,291,0,155,155,null,0,0,0
1660568770151,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-55,text,true,,291,0,155,155,null,0,0,0
1660568770151,1,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-57,text,true,,291,0,155,155,null,0,0,0
1660568770151,1,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-38,text,true,,291,0,155,155,null,0,0,0
1660568710015,60137,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-62,text,false,,315,297,155,155,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60137,0,92
1660568770152,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-56,text,true,,291,0,155,155,null,0,0,0
1660568709965,60187,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-52,text,false,,315,297,155,155,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60187,0,141
1660568709925,60227,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-44,text,false,,315,297,155,155,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60227,0,181
1660568770152,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-62,text,true,,291,0,155,155,null,0,0,0
1660568709999,60153,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-59,text,false,,315,297,155,155,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60153,0,108
1660568770152,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-52,text,true,,291,0,155,155,null,0,0,0
1660568770152,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-44,text,true,,291,0,154,154,null,0,0,0
1660568709918,60234,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-43,text,false,,315,297,154,154,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60234,0,188
1660568770152,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-59,text,true,,291,0,154,154,null,0,0,0
1660568770152,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-43,text,true,,291,0,151,151,null,0,0,0
1660568710004,60148,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-60,text,false,,315,297,151,151,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60148,0,103
1660568709915,60238,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-42,text,false,,315,297,150,150,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60238,0,191
1660568709930,60223,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-45,text,false,,315,297,150,150,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60223,0,176
1660568770153,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-60,text,true,,291,0,150,150,null,0,0,0
1660568770153,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-42,text,true,,291,0,150,150,null,0,0,0
1660568710025,60128,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-64,text,false,,315,297,150,150,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60128,0,82
1660568710034,60119,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-66,text,false,,315,297,148,148,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60119,0,73
